facility_a,facility_b,distance_km,feasible
BOM-HOSP,BOM-PHC,6.0,True
BOM-HOSP,BOM-PHARM,6.5,True
BOM-HOSP,CCU-HOSP,1652.5,False
BOM-HOSP,CCU-PHC,1660.9,False
BOM-HOSP,CCU-PHARM,1654.6,False
BOM-HOSP,DEL-HOSP,1144.9,False
BOM-HOSP,DEL-PHC,1155.2,False
BOM-HOSP,DEL-PHARM,1152.4,False
BOM-HOSP,MAA-HOSP,1040.2,False
BOM-HOSP,MAA-PHC,1038.1,False
BOM-HOSP,MAA-PHARM,1035.8,False
BOM-PHC,CCU-HOSP,1658.4,False
BOM-PHC,CCU-PHC,1666.9,False
BOM-PHC,CCU-PHARM,1660.6,False
BOM-PHC,DEL-HOSP,1148.3,False
BOM-PHC,DEL-PHC,1158.6,False
BOM-PHC,DEL-PHARM,1155.8,False
BOM-PHC,MAA-HOSP,1043.9,False
BOM-PHC,MAA-PHC,1041.7,False
BOM-PHC,MAA-PHARM,1039.4,False
BOM-PHARM,BOM-PHC,12.3,True
BOM-PHARM,CCU-HOSP,1646.3,False
BOM-PHARM,CCU-PHC,1654.8,False
BOM-PHARM,CCU-PHARM,1648.4,False
BOM-PHARM,DEL-HOSP,1139.6,False
BOM-PHARM,DEL-PHC,1149.9,False
BOM-PHARM,DEL-PHARM,1147.1,False
BOM-PHARM,MAA-HOSP,1038.3,False
BOM-PHARM,MAA-PHC,1036.2,False
BOM-PHARM,MAA-PHARM,1034.0,False
CCU-HOSP,CCU-PHC,8.9,True
CCU-HOSP,CCU-PHARM,12.4,True
CCU-HOSP,DEL-HOSP,1317.7,False
CCU-HOSP,DEL-PHC,1321.8,False
CCU-HOSP,DEL-PHARM,1324.9,False
CCU-HOSP,MAA-HOSP,1344.4,False
CCU-HOSP,MAA-PHC,1354.9,False
CCU-HOSP,MAA-PHARM,1361.1,False
CCU-PHC,DEL-HOSP,1321.8,False
CCU-PHC,DEL-PHC,1325.9,False
CCU-PHC,DEL-PHARM,1329.1,False
CCU-PHC,MAA-HOSP,1352.7,False
CCU-PHC,MAA-PHC,1363.3,False
CCU-PHC,MAA-PHARM,1369.5,False
CCU-PHARM,CCU-PHC,11.3,True
CCU-PHARM,DEL-HOSP,1310.8,False
CCU-PHARM,DEL-PHC,1314.8,False
CCU-PHARM,DEL-PHARM,1318.0,False
CCU-PHARM,MAA-HOSP,1353.7,False
CCU-PHARM,MAA-PHC,1364.3,False
CCU-PHARM,MAA-PHARM,1370.4,False
DEL-HOSP,DEL-PHC,10.7,True
DEL-HOSP,DEL-PHARM,9.9,True
DEL-HOSP,MAA-HOSP,1759.9,False
DEL-HOSP,MAA-PHC,1764.9,False
DEL-HOSP,MAA-PHARM,1767.0,False
DEL-PHC,MAA-HOSP,1770.1,False
DEL-PHC,MAA-PHC,1775.1,False
DEL-PHC,MAA-PHARM,1777.3,False
DEL-PHARM,DEL-PHC,4.5,True
DEL-PHARM,MAA-HOSP,1769.8,False
DEL-PHARM,MAA-PHC,1774.8,False
DEL-PHARM,MAA-PHARM,1776.9,False
BLR-HOSP,BOM-HOSP,847.0,False
BLR-HOSP,BOM-PHC,849.5,False
BLR-HOSP,BOM-PHARM,846.6,False
BLR-HOSP,CCU-HOSP,1547.4,False
BLR-HOSP,CCU-PHC,1556.1,False
BLR-HOSP,CCU-PHARM,1555.4,False
BLR-HOSP,DEL-HOSP,1738.4,False
BLR-HOSP,DEL-PHC,1749.0,False
BLR-HOSP,DEL-PHARM,1747.9,False
BLR-HOSP,BLR-PHC,13.6,True
BLR-HOSP,BLR-PHARM,13.2,True
BLR-HOSP,MAA-HOSP,293.3,True
BLR-HOSP,MAA-PHC,284.5,True
BLR-HOSP,MAA-PHARM,278.7,True
BLR-PHC,BOM-HOSP,853.9,False
BLR-PHC,BOM-PHC,856.3,False
BLR-PHC,BOM-PHARM,853.5,False
BLR-PHC,CCU-HOSP,1559.9,False
BLR-PHC,CCU-PHC,1568.7,False
BLR-PHC,CCU-PHARM,1568.0,False
BLR-PHC,DEL-HOSP,1750.7,False
BLR-PHC,DEL-PHC,1761.3,False
BLR-PHC,DEL-PHARM,1760.2,False
BLR-PHC,MAA-HOSP,299.4,True
BLR-PHC,MAA-PHC,290.4,True
BLR-PHC,MAA-PHARM,284.4,True
BLR-PHARM,BOM-HOSP,856.7,False
BLR-PHARM,BOM-PHC,859.1,False
BLR-PHARM,BOM-PHARM,856.3,False
BLR-PHARM,CCU-HOSP,1557.8,False
BLR-PHARM,CCU-PHC,1566.5,False
BLR-PHARM,CCU-PHARM,1565.9,False
BLR-PHARM,DEL-HOSP,1751.5,False
BLR-PHARM,DEL-PHC,1762.1,False
BLR-PHARM,DEL-PHARM,1761.0,False
BLR-PHARM,BLR-PHC,3.8,True
BLR-PHARM,MAA-HOSP,295.7,True
BLR-PHARM,MAA-PHC,286.7,True
BLR-PHARM,MAA-PHARM,280.7,True
MAA-HOSP,MAA-PHC,10.9,True
MAA-HOSP,MAA-PHARM,17.6,True
MAA-PHARM,MAA-PHC,6.7,True
